Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

BT1        BAT_2XAA_HOLDER_PCB_4PINS      2.3622mm     15.3012mm      0.4572mm     15.3162mm      0.4572mm     21.8012mm  B        360.00 BAT            
R22        0603_res             0.2413mm      14.986mm      0.2286mm      14.986mm     -0.4318mm      14.986mm  T          0.00 0R             
R21        0603_res             0.2413mm      13.716mm       0.254mm      13.716mm      0.9144mm      13.716mm  T        180.00 0R             
C7         SUPERCAP__PAS311HR     -24.886mm      11.938mm     -27.686mm      11.938mm     -27.686mm      11.938mm  T        360.00 0.033uF        
JP13       1X12-RIGHT           -33.02mm       15.24mm      -33.02mm       29.21mm      -33.02mm       29.21mm  T        270.00 Header 12      
U3         SOT563              -22.225mm      17.272mm     -22.225mm      17.272mm    -23.0125mm      17.772mm  T        270.00 NTZD3152P      
R17        0603_res           -21.7979mm     13.9446mm    -21.8106mm     13.9446mm     -22.471mm     13.9446mm  T          0.00 100K           
R16        0603_res           -24.3332mm     15.2716mm    -24.3332mm     15.2843mm    -24.3332mm     15.9447mm  T        270.00 100K           
Q4         SOT416             -22.1234mm      15.494mm    -22.1234mm      15.494mm    -22.9234mm      15.994mm  T        180.00 2N7002PT       
C9         0603_cap           -24.3332mm     17.6983mm    -24.3332mm     17.6856mm    -24.3332mm     17.0252mm  T         90.00 4.7uF/MLCC     
JP12       1X10_2MM_FEM         -4.016mm       4.289mm      -4.016mm       4.289mm       4.984mm       4.289mm  T        180.00 Header 10      
JP11       1X10_2MM_FEM         -4.016mm      26.289mm      -4.016mm      26.289mm       4.984mm      26.289mm  T        180.00 Header 10      
C4         0603_cap            -7.7597mm      9.4996mm      -7.747mm      9.4996mm     -7.0866mm      9.4996mm  T        180.00 100nF          
L1         COIL_Coilcraft-LPS4018       -3.81mm     15.0876mm       -3.81mm     15.0876mm       -3.81mm     13.5509mm  T         90.00 IND            
C3         1812                -22.479mm     23.0196mm     -22.479mm     23.0196mm     -22.479mm     21.1146mm  T        270.00 100uF          
C1         0805_2              -7.8994mm      8.0265mm     -7.8994mm      8.0264mm     -7.0104mm      8.0265mm  T        360.00 4.7uF          
C11        0603_cap            -7.7597mm     10.7696mm      -7.747mm     10.7696mm     -7.0866mm     10.7696mm  T        180.00 10nF           
R1         0603_RES            -2.5654mm      8.3947mm     -2.5654mm      8.4074mm     -2.5654mm      9.0678mm  T        270.00 10M            
R6         0603_RES           -13.9065mm      12.065mm    -13.9192mm      12.065mm    -14.5796mm      12.065mm  T        360.00 4.42M          
R3         0603_RES           -11.4427mm      13.335mm    -11.4554mm      13.335mm    -12.1158mm      13.335mm  T        360.00 5.90M          
R4         0603_RES           -13.9065mm      13.335mm    -13.9192mm      13.335mm    -14.5796mm      13.335mm  T        360.00 4.02M          
R5         0603_RES           -11.4389mm     12.0402mm    -11.4516mm     12.0402mm     -12.112mm     12.0402mm  T        360.00 5.6M           
R8         0603_RES           -13.9065mm      10.795mm    -13.9192mm      10.795mm    -14.5796mm      10.795mm  T        360.00 1.43M          
R2         0603_RES            -5.1054mm      8.3947mm     -5.1054mm      8.4074mm     -5.1054mm      9.0678mm  T        270.00 4.22M          
C2         0805_2               -4.445mm     22.3846mm      -4.445mm     22.3846mm      -5.334mm     22.3846mm  T        180.00 4.7uF          
C5         0603_cap            -9.6012mm     12.7381mm     -9.6012mm     12.7254mm     -9.6012mm      12.065mm  T         90.00 10nF           
R9         0603_RES           -13.9319mm      8.9408mm    -13.9192mm      8.9408mm    -13.2588mm      8.9408mm  T        180.00 4.42M          
R7         0603_RES           -13.9319mm      7.6708mm    -13.9446mm      7.6708mm     -14.605mm      7.6708mm  T        360.00 4.42M          
R10        0603_RES            -3.8354mm      8.3947mm     -3.8354mm       8.382mm     -3.8354mm      7.7216mm  T         90.00 5.6M           
C6         0603_cap           -13.9319mm      6.4008mm    -13.9192mm      6.4008mm    -13.2587mm      6.4008mm  T        180.00 100nF          
U1         QFN16_BQ25504        -9.144mm     17.6856mm      -9.144mm     17.6856mm      -8.394mm     16.4356mm  T        180.00 BQ25504        
U2         SC70-6             -12.1412mm     23.4696mm    -12.1412mm     23.4696mm    -13.2412mm     24.1196mm  T        270.00 TLV3011AIDCK   
Q2         SOT-23              -4.7752mm     19.7104mm     -4.7752mm     19.7104mm     -3.6252mm     18.7604mm  T        270.00 PMV16UN        
Q1         SOT-23              -8.1026mm     23.1648mm     -8.1026mm     23.1648mm     -9.2526mm     24.1148mm  T         90.00 BSS84,215      
R11        0603_RES           -15.7607mm       20.32mm     -15.748mm       20.32mm    -15.0876mm       20.32mm  T        180.00 680K           
R12        0603_RES           -12.5857mm     21.7932mm     -12.573mm     21.7932mm    -11.9126mm     21.7932mm  T        180.00 220K           
R13        0603_RES           -15.7607mm       21.59mm    -15.7734mm       21.59mm    -16.4338mm       21.59mm  T        360.00 1.5M           
R14        0603_RES           -15.7607mm       24.13mm     -15.748mm       24.13mm    -15.0876mm       24.13mm  T        180.00 10M            
R15        0603_RES            -8.8773mm     20.7518mm     -8.8646mm     20.7518mm     -8.2042mm     20.7518mm  T        180.00 2.2M           
JP7        1X12-RIGHT           -13.97mm       30.48mm           0mm       30.48mm           0mm       30.48mm  T        180.00 Header 12      
JP8        1X12-RIGHT           -13.97mm           0mm      -27.94mm          -0mm      -27.94mm           0mm  T          0.00 Header 12      
JP2        JST_2MM_2PIN_90     -21.844mm       6.223mm     -21.844mm       6.223mm     -21.844mm       7.223mm  T        270.00 HEADER-2       
R18        0603_RES           -17.0434mm     17.7673mm    -17.0434mm       17.78mm    -17.0434mm     18.4404mm  T        270.00 4.42M          
R20        0603_RES            -7.7564mm     13.3096mm     -7.7436mm     13.3096mm     -7.0832mm     13.3096mm  T        180.00 0R             
R19        0603_RES            -7.7503mm     12.0396mm     -7.7376mm     12.0396mm     -7.0772mm     12.0396mm  T        180.00 0R             
D1         SOD923             -30.6324mm     27.9908mm    -30.6324mm     27.9908mm    -30.1824mm     27.9908mm  T        360.00 ESD9R3.3ST5G   
D2         SOD-323F            -30.607mm      1.1684mm     -30.607mm      1.1684mm     -30.607mm      2.3368mm  T         90.00 GDZ5V1B-V      

